,year_month,us_state,make,phone_series,phone_launch_date,model_family,predecessor,successor,model_age_days,model_age_months,model,sku,sku_no_colour,colour,size,closing_subs_monthly,filed_claims,claims,claims_swap,claims_replacement,ir_rate_swap,ir_rate_replacement,ir_rate_monthly,churn_rate,churn
0,2019-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,456,14,A12 32GB BLUE,A12BLU,A12,Blue,32,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2019-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,484,15,A12 32GB BLUE,A12BLU,A12,Blue,32,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2019-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,515,16,A12 32GB BLUE,A12BLU,A12,Blue,32,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2019-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,545,17,A12 32GB BLUE,A12BLU,A12,Blue,32,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2019-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,576,18,A12 32GB BLUE,A12BLU,A12,Blue,32,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2019-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,606,19,A12 32GB BLUE,A12BLU,A12,Blue,32,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2019-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,637,20,A12 32GB BLUE,A12BLU,A12,Blue,32,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,2019-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,668,21,A12 32GB BLUE,A12BLU,A12,Blue,32,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2019-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,698,22,A12 32GB BLUE,A12BLU,A12,Blue,32,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2019-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,729,23,A12 32GB BLUE,A12BLU,A12,Blue,32,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2019-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,759,24,A12 32GB BLUE,A12BLU,A12,Blue,32,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2019-12-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,790,25,A12 32GB BLUE,A12BLU,A12,Blue,32,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,2020-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,821,26,A12 32GB BLUE,A12BLU,A12,Blue,32,283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,2020-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,850,27,A12 32GB BLUE,A12BLU,A12,Blue,32,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2020-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,881,28,A12 32GB BLUE,A12BLU,A12,Blue,32,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2020-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,911,29,A12 32GB BLUE,A12BLU,A12,Blue,32,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,2020-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,942,30,A12 32GB BLUE,A12BLU,A12,Blue,32,1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194741966893866,2
17,2020-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,972,31,A12 32GB BLUE,A12BLU,A12,Blue,32,2209,3.9361679571943275,3.0,3.0,0.0,0.00135808057944771,0.0,0.00135808057944771,0.0144861928474423,32
18,2020-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1003,32,A12 32GB BLUE,A12BLU,A12,Blue,32,3364,3.0,10.0,9.0,1.0,0.00267538644470868,0.000297265160523187,0.00297265160523187,0.0202140309155767,68
19,2020-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1034,33,A12 32GB BLUE,A12BLU,A12,Blue,32,4790,3.0,1.0,1.0,0.0,0.000208768267223382,0.0,0.000208768267223382,0.0298538622129436,143
20,2020-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1064,34,A12 32GB BLUE,A12BLU,A12,Blue,32,5078,1.0,1.0,1.0,0.0,0.000196927924379677,0.0,0.000196927924379677,0.0324931075226467,165
21,2020-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1095,35,A12 32GB BLUE,A12BLU,A12,Blue,32,6308,2.0,4.0,4.0,0.0,0.000634115409004439,0.0,0.000634115409004439,0.0223525681674065,141
22,2020-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1125,36,A12 32GB BLUE,A12BLU,A12,Blue,32,7441,4.0,12.0,12.0,0.0,0.00161268646687273,0.0,0.00161268646687273,0.0255342023921516,190
23,2020-12-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1156,37,A12 32GB BLUE,A12BLU,A12,Blue,32,7963,4.0,3.9185204057585485,3.0522656383898643,0.8662547673686687,0.00038330599502572703,0.0001087849764371052,0.0004920909714628342,0.0292603290217255,233
24,2021-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1187,38,A12 32GB BLUE,A12BLU,A12,Blue,32,7799,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.0002639738865355039,1.267518455854412e-05,0.0002766490710940519,0.0234645467367611,183
25,2021-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1215,39,A12 32GB BLUE,A12BLU,A12,Blue,32,7634,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.0002696793739966459,1.2949143878973749e-05,0.0002826285178756236,0.0195179460309143,149
26,2021-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1246,40,A12 32GB BLUE,A12BLU,A12,Blue,32,7463,7.0,6.559921856202606,4.5425655843390675,2.0173562718635436,0.0006086782238160348,0.00027031438722545137,0.0008789926110414854,0.0192951896020367,144
27,2021-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1276,41,A12 32GB BLUE,A12BLU,A12,Blue,32,7319,3.0,1.0,1.0,0.0,0.0,0.0,0.000136630687252357,0.0185817734663205,136
28,2021-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1307,42,A12 32GB BLUE,A12BLU,A12,Blue,32,7181,7.0,1.0,1.0,0.0,0.0,0.0,0.000139256370978972,0.0154574571786659,111
29,2021-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1337,43,A12 32GB BLUE,A12BLU,A12,Blue,32,7089,1.0,1.2771189553144915,1.561965692440661,-0.2848467371262059,0.00022033653441115263,-4.01815117966153e-05,0.00018015502261454247,0.0105797714769361,75
30,2021-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1368,44,A12 32GB BLUE,A12BLU,A12,Blue,32,6956,7.0,6.559921856202606,4.5425655843390675,2.0173562718635436,0.0006530427809573128,0.00029001671533403445,0.0009430594962913465,0.0133697527314549,93
31,2021-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1399,45,A12 32GB BLUE,A12BLU,A12,Blue,32,6833,12.0,10.962257606942702,7.02639882758774,3.9358587793550015,0.0010283036481176261,0.0005760074314876337,0.0016043110796052542,0.0118542367920386,81
32,2021-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1429,46,A12 32GB BLUE,A12BLU,A12,Blue,32,6738,5.0,4.798987555906567,3.5490322870395983,1.24995526886696,0.0005267189502878596,0.0001855083509746156,0.0007122273012624766,0.00920154348471357,62
33,2021-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1460,47,A12 32GB BLUE,A12BLU,A12,Blue,32,6647,5.0,4.798987555906567,3.5490322870395983,1.24995526886696,0.0005339299363682261,0.00018804803202451633,0.0007219779683927437,0.00782307808033699,52
34,2021-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1490,48,A12 32GB BLUE,A12BLU,A12,Blue,32,6523,3.0,3.0380532556105297,2.55549898974013,0.4825542658703772,0.00039176743672238694,7.39773518121075e-05,0.0004657447885344979,0.0119576881802851,78
35,2021-12-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1521,49,A12 32GB BLUE,A12BLU,A12,Blue,32,6409,6.0,5.679454706054587,4.045798935689334,1.633655770365252,0.0006312683625665991,0.0002549002606280624,0.0008861686231946617,0.00920580433765018,59
36,2022-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1552,50,A12 32GB BLUE,A12BLU,A12,Blue,32,6280,8.0,7.440389006350625,5.0393322329888015,2.4010567733618347,0.000802441438374013,0.0003823338811085724,0.0011847753194825835,0.00875796178343949,55
37,2022-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1580,51,A12 32GB BLUE,A12BLU,A12,Blue,32,6191,9.0,8.320856156498643,5.5360988816385355,2.7847572748601257,0.000894217231729694,0.0004498073453174165,0.0013440245770471074,0.00969148764335325,60
38,2022-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1611,52,A12 32GB BLUE,A12BLU,A12,Blue,32,6081,7.0,6.559921856202606,4.5425655843390675,2.0173562718635436,0.0007470096339975444,0.0003317474546725117,0.0010787570886700553,0.00986679822397632,60
39,2022-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1641,53,A12 32GB BLUE,A12BLU,A12,Blue,32,5965,5.0,4.798987555906567,3.5490322870395983,1.24995526886696,0.0005949760749437717,0.00020954824289471247,0.0008045243178384857,0.0103939647946354,62
40,2022-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1672,54,A12 32GB BLUE,A12BLU,A12,Blue,32,5839,3.0,3.0380532556105297,2.55549898974013,0.4825542658703772,0.00043766038529544955,8.264330636588066e-05,0.0005203036916613341,0.00993320774105155,58
41,2022-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1702,55,A12 32GB BLUE,A12BLU,A12,Blue,32,5678,12.0,10.962257606942702,7.02639882758774,3.9358587793550015,0.001237477778722744,0.0006931769600836564,0.0019306547388063934,0.0119760479041916,68
42,2022-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1733,56,A12 32GB BLUE,A12BLU,A12,Blue,32,5518,4.0,1.0,1.0,0.0,0.0,0.0,0.000181225081551287,0.0137731061978978,76
43,2022-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1764,57,A12 32GB BLUE,A12BLU,A12,Blue,32,5300,5.0,4.798987555906567,3.5490322870395983,1.24995526886696,0.0006696287334036978,0.00023584061676735094,0.0009054693501710505,0.0156603773584906,83
44,2022-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1794,58,A12 32GB BLUE,A12BLU,A12,Blue,32,5114,4.0,3.9185204057585485,3.0522656383898643,0.8662547673686687,0.000596845060303063,0.00016938888685347453,0.0007662339471565405,0.0160344153304654,82
45,2022-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1825,59,A12 32GB BLUE,A12BLU,A12,Blue,32,4911,4.0,3.9185204057585485,3.0522656383898643,0.8662547673686687,0.0006215161145163642,0.0001763907080775135,0.0007979068225938807,0.0173080838933008,85
46,2022-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1855,60,A12 32GB BLUE,A12BLU,A12,Blue,32,4707,4.0,3.9185204057585485,3.0522656383898643,0.8662547673686687,0.0006484524407031791,0.00018403542965129993,0.0008324878703544824,0.0210325047801147,99
47,2022-12-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1886,61,A12 32GB BLUE,A12BLU,A12,Blue,32,4574,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.00045009452144521096,2.161210414781058e-05,0.0004717066255930281,0.0146480104940971,67
48,2023-01-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1917,62,A12 32GB BLUE,A12BLU,A12,Blue,32,4453,4.0,3.0,3.0,0.0,0.0,0.0,0.00067370312149113,0.0125757916011678,56
49,2023-02-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1945,63,A12 32GB BLUE,A12BLU,A12,Blue,32,4363,2.0,1.0,1.0,0.0,0.0,0.0,0.000229200091680037,0.0114600045840018,50
50,2023-03-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,1976,64,A12 32GB BLUE,A12BLU,A12,Blue,32,4288,3.0,3.0,3.0,0.0,0.0,0.0,0.000699626865671642,0.0128264925373134,55
51,2023-04-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2006,65,A12 32GB BLUE,A12BLU,A12,Blue,32,4143,1.0,1.0,1.0,0.0,0.0,0.0,0.000241370987207338,0.0265508085928071,110
52,2023-05-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2037,66,A12 32GB BLUE,A12BLU,A12,Blue,32,3999,3.0,2.0,1.0,1.0,0.0,0.0,0.000500125031257815,0.0277569392348087,111
53,2023-06-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2067,67,A12 32GB BLUE,A12BLU,A12,Blue,32,3881,4.0,1.0,1.0,0.0,0.0,0.0,0.00025766555011595,0.0234475650605514,91
54,2023-07-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2098,68,A12 32GB BLUE,A12BLU,A12,Blue,32,3771,1.0,1.2771189553144915,1.561965692440661,-0.2848467371262059,0.00041420463867426706,-7.553612758584086e-05,0.0003386685110884358,0.0214797136038186,81
55,2023-08-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2129,69,A12 32GB BLUE,A12BLU,A12,Blue,32,3656,1.0,1.2771189553144915,1.561965692440661,-0.2848467371262059,0.00042723350449689853,-7.791212722270402e-05,0.00034932137727420443,0.0207877461706783,76
56,2023-09-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2159,70,A12 32GB BLUE,A12BLU,A12,Blue,32,3553,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.000579434939794651,2.7822618736866195e-05,0.0006072575585315257,0.0191387559808612,68
57,2023-10-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2190,71,A12 32GB BLUE,A12BLU,A12,Blue,32,3464,1.0,1.2771189553144915,1.561965692440661,-0.2848467371262059,0.00045091388349903614,-8.223058231126036e-05,0.0003686833011877862,0.0173210161662818,60
58,2023-11-01,California,Oppo,OPPO A10,2017-11-01,OPPO A12,First Model,OPPO A15,2220,72,A12 32GB BLUE,A12BLU,A12,Blue,32,3370,2.0,2.1575861054625105,2.058732341090395,0.0988537643720856,0.0006108998044778621,2.9333461238007594e-05,0.0006402332657158785,0.0189910979228487,64
62,2020-07-01,Texas,Oppo,OPPO A10,2020-07-28,OPPO A12,First Model,OPPO A15,3,0,A12 32GB BLUE,A12BLU,A12,Blue,32,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1
